Date/Time,roomTemp (deg C),defroStat,compStat,evapStat
28-04-2024 05:24,-14.5,OFF,ON,ON
28-04-2024 05:53,-11.1,OFF,ON,ON
28-04-2024 06:22,-12.8,OFF,ON,ON
28-04-2024 06:27,-13.1,ON,OFF,OFF
28-04-2024 06:47,12.4,OFF,OFF,OFF
28-04-2024 07:16,-5.6,OFF,ON,ON
28-04-2024 07:45,-8,OFF,ON,ON
28-04-2024 08:14,-9.7,OFF,ON,ON
28-04-2024 08:43,-11.7,OFF,ON,ON
28-04-2024 09:12,-13.5,OFF,ON,ON
28-04-2024 09:27,-14.3,ON,OFF,OFF
28-04-2024 09:56,2.9,OFF,ON,OFF
28-04-2024 10:25,-13.2,OFF,ON,ON
28-04-2024 10:54,-15.2,OFF,ON,ON
28-04-2024 11:23,-16.1,OFF,ON,ON
28-04-2024 11:52,-16.9,OFF,ON,ON
28-04-2024 12:21,-17.4,OFF,ON,ON
28-04-2024 12:27,-17.5,ON,OFF,OFF
28-04-2024 12:47,10.3,OFF,OFF,OFF
28-04-2024 13:16,-14.6,OFF,ON,ON
28-04-2024 13:45,-16.5,OFF,ON,ON
28-04-2024 14:14,-17.2,OFF,ON,ON
28-04-2024 14:43,-14.9,OFF,ON,ON
28-04-2024 15:12,-16.7,OFF,ON,ON
28-04-2024 15:26,-17.2,ON,OFF,OFF
28-04-2024 15:46,10.2,OFF,OFF,OFF
28-04-2024 16:15,-14.6,OFF,ON,ON
28-04-2024 16:44,-16.6,OFF,ON,ON
28-04-2024 17:13,-17.4,OFF,ON,ON
28-04-2024 17:42,-18,OFF,ON,ON
28-04-2024 18:11,-18.8,OFF,ON,ON
28-04-2024 18:26,-19.3,ON,OFF,OFF
28-04-2024 18:55,5.6,OFF,ON,OFF
28-04-2024 19:24,-16.8,OFF,ON,ON
28-04-2024 19:53,-17.9,OFF,ON,ON
28-04-2024 20:22,-19.2,OFF,ON,ON
28-04-2024 20:51,-19.7,OFF,ON,ON
28-04-2024 21:20,-17.4,OFF,ON,ON
28-04-2024 21:26,-18,ON,OFF,OFF
28-04-2024 21:46,11.2,OFF,OFF,OFF
28-04-2024 22:15,-15.8,OFF,ON,ON
28-04-2024 22:44,-17.8,OFF,ON,ON
28-04-2024 23:13,-19.3,OFF,ON,ON
28-04-2024 23:42,-19.9,OFF,ON,ON
29-04-2024 00:11,-19,OFF,ON,ON
29-04-2024 00:26,-19.9,ON,OFF,OFF
29-04-2024 00:46,9.3,OFF,OFF,OFF
29-04-2024 01:15,-16.8,OFF,ON,ON
29-04-2024 01:48,-19.2,OFF,ON,ON
29-04-2024 02:17,-19.1,OFF,ON,ON
29-04-2024 02:46,-19.8,OFF,ON,ON
29-04-2024 03:15,-19.6,OFF,ON,ON
29-04-2024 03:21,-20,OFF,OFF,ON
29-04-2024 03:26,-18.5,ON,OFF,OFF
29-04-2024 03:55,3.8,OFF,ON,OFF
29-04-2024 04:24,-17.6,OFF,ON,ON
29-04-2024 04:53,-19.3,OFF,ON,ON
29-04-2024 05:22,-19.7,OFF,ON,ON
29-04-2024 05:28,-20,OFF,OFF,ON
29-04-2024 05:57,-15,OFF,ON,ON
29-04-2024 06:26,-16.3,ON,OFF,OFF
29-04-2024 06:46,12.7,OFF,OFF,OFF
29-04-2024 07:15,-9.5,OFF,ON,ON
29-04-2024 07:44,-10.8,OFF,ON,ON
29-04-2024 08:16,-12.8,OFF,ON,ON
29-04-2024 08:45,-13.8,OFF,ON,ON
29-04-2024 09:14,-15.2,OFF,ON,ON
29-04-2024 09:25,-15.6,ON,OFF,OFF
29-04-2024 09:45,8,OFF,OFF,OFF
29-04-2024 10:14,-13.3,OFF,ON,ON
29-04-2024 11:32,-17.1,OFF,ON,ON
29-04-2024 12:01,-14.6,OFF,ON,ON
29-04-2024 12:25,-16.4,ON,OFF,OFF
29-04-2024 12:45,10.9,OFF,OFF,OFF
29-04-2024 12:55,0.7,OFF,ON,ON
29-04-2024 13:24,-15,OFF,ON,ON
29-04-2024 13:53,-16.6,OFF,ON,ON
29-04-2024 14:22,-17.5,OFF,ON,ON
29-04-2024 14:51,-18.1,OFF,ON,ON
29-04-2024 15:20,-18.5,OFF,ON,ON
29-04-2024 15:50,12.3,OFF,ON,OFF
29-04-2024 16:19,-16.1,OFF,ON,ON
29-04-2024 16:48,-17.6,OFF,ON,ON
29-04-2024 17:17,-18.7,OFF,ON,ON
29-04-2024 17:46,-19.4,OFF,ON,ON
29-04-2024 18:15,-19.2,OFF,ON,ON
29-04-2024 18:44,8.7,ON,OFF,OFF
29-04-2024 19:13,-15.6,OFF,ON,ON
29-04-2024 19:42,-18.5,OFF,ON,ON
29-04-2024 20:11,-19.1,OFF,ON,ON
29-04-2024 20:40,-19.1,OFF,ON,ON
29-04-2024 21:09,-18.1,OFF,ON,ON
29-04-2024 21:38,-0.2,ON,OFF,OFF
29-04-2024 22:07,-14.9,OFF,ON,ON
29-04-2024 22:36,-18.2,OFF,ON,ON
29-04-2024 23:05,-19.7,OFF,ON,ON
29-04-2024 23:31,-20,OFF,OFF,ON
30-04-2024 00:00,-19.3,OFF,ON,ON
